Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,25,0,- - -,- - -,19.44,0,0,4th Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,28.95,- - -,- - -,- - -,4th Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,19.44,0,0,4th Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,18.42,- - -,- - -,- - -,4th Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,20,25,25,- - -,- - -,19.44,0,44.44,4th Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,25,7.89,- - -,- - -,- - -,4th Phase
HashNick,Bogota-Hack-2-2017,HashNick,uxjudge5,purdueironhack+uxjudge5@gmail.com,40,54.17,0,- - -,- - -,52.78,63.89,0,4th Phase
HashNick,Bogota-Hack-2-2017,HashNick,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,10.53,- - -,- - -,- - -,4th Phase
jscontrerasp,Bogota-Hack-2-2017,joaortizro,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,80,50,62.5,- - -,- - -,75,61.11,63.89,4th Phase
jscontrerasp,Bogota-Hack-2-2017,joaortizro,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,87.5,81.58,- - -,- - -,- - -,4th Phase
juasmartinezbel,Bogota-Hack-2-2017,juasmartinezbel,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,100,58.33,87.5,- - -,- - -,86.11,66.67,86.11,4th Phase
juasmartinezbel,Bogota-Hack-2-2017,juasmartinezbel,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,75,52.63,- - -,- - -,- - -,4th Phase
mdbelloc,Bogota-Hack-2-2017,mdbelloc,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,29.17,25,- - -,- - -,0,27.78,44.44,4th Phase
mdbelloc,Bogota-Hack-2-2017,mdbelloc,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,75,52.63,- - -,- - -,- - -,4th Phase
diegocruz10,Bogota-Hack-2-2017,diegocruz10,uxjudge5,purdueironhack+uxjudge5@gmail.com,40,29.17,0,- - -,- - -,52.78,27.78,0,4th Phase
diegocruz10,Bogota-Hack-2-2017,diegocruz10,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,10.53,- - -,- - -,- - -,4th Phase
crarojasca,Bogota-Hack-2-2017,crarojasca,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,19.44,0,0,4th Phase
crarojasca,Bogota-Hack-2-2017,crarojasca,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,4th Phase
sagilm,Bogota-Hack-2-2017,sagilm,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,0,37.5,62.5,- - -,- - -,0,52.78,63.89,4th Phase
sagilm,Bogota-Hack-2-2017,sagilm,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,18.42,- - -,- - -,- - -,4th Phase
idrojasf,Bogota-Hack-2-2017,idrojasf,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,58.33,0,- - -,- - -,19.44,66.67,0,4th Phase
idrojasf,Bogota-Hack-2-2017,idrojasf,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,75,52.63,- - -,- - -,- - -,4th Phase
raulramirezp,Bogota-Hack-2-2017,raulramirezp,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,75,52.63,- - -,- - -,- - -,4th Phase
raulramirezp,Bogota-Hack-2-2017,raulramirezp,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,40,33.33,0,- - -,- - -,52.78,41.67,0,4th Phase
tres-iqus,Bogota-Hack-2-2017,tres-iqus,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,4th Phase
fabianr23,Bogota-Hack-2-2017,fabianr23,uxjudge5,purdueironhack+uxjudge5@gmail.com,100,70.83,87.5,- - -,- - -,86.11,88.89,86.11,4th Phase
fabianr23,Bogota-Hack-2-2017,fabianr23,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,100,94.74,- - -,- - -,- - -,4th Phase
jhriverasa,Bogota-Hack-2-2017,jhriverasa,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,100,70.83,87.5,- - -,- - -,86.11,88.89,86.11,4th Phase
jhriverasa,Bogota-Hack-2-2017,jhriverasa,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,75,52.63,- - -,- - -,- - -,4th Phase
jhcardenasa,Bogota-Hack-2-2017,jhcardenasa,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,4th Phase
jhonsd1996,Bogota-Hack-2-2017,jhonsd1996,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,62.5,0,- - -,- - -,19.44,77.78,0,4th Phase
jhonsd1996,Bogota-Hack-2-2017,jhonsd1996,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,75,52.63,- - -,- - -,- - -,4th Phase
JuanitoAli,Bogota-Hack-2-2017,JuanitoAli,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,100,75,87.5,- - -,- - -,86.11,94.44,86.11,4th Phase
JuanitoAli,Bogota-Hack-2-2017,JuanitoAli,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,28.95,- - -,- - -,- - -,4th Phase
Davsatu313,Bogota-Hack-2-2017,Davsatu313,uxjudge5,purdueironhack+uxjudge5@gmail.com,80,62.5,70.83,- - -,- - -,75,77.78,72.22,4th Phase
Davsatu313,Bogota-Hack-2-2017,Davsatu313,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,87.5,81.58,- - -,- - -,- - -,4th Phase
cesarochoa2006,Bogota-Hack-2-2017,cesarochoa2006,uxjudge4,purdueironhack+uxjudge4@gmail.com,60,58.33,78.13,- - -,- - -,72.22,66.67,83.33,4th Phase
cesarochoa2006,Bogota-Hack-2-2017,cesarochoa2006,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,87.5,81.58,- - -,- - -,- - -,4th Phase
jjmuesesq,Bogota-Hack-2-2017,jjmuesesq,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,25,0,- - -,- - -,19.44,0,0,4th Phase
jjmuesesq,Bogota-Hack-2-2017,jjmuesesq,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,28.95,- - -,- - -,- - -,4th Phase
jucjimenezmo,Bogota-Hack-2-2017,jucjimenezmo,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,33.33,75,- - -,- - -,19.44,41.67,75,4th Phase
jucjimenezmo,Bogota-Hack-2-2017,jucjimenezmo,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,75,52.63,- - -,- - -,- - -,4th Phase
