Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
gasierram,Bogota-Hack-1-2017,gasierram,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,50,0,- - -,- - -,18.92,59.46,0,3rd Phase
gasierram,Bogota-Hack-1-2017,gasierram,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,62.5,41.46,- - -,- - -,- - -,3rd Phase
adamantwharf,Bogota-Hack-1-2017,adamantwharf,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,18.92,2.7,0,3rd Phase
adamantwharf,Bogota-Hack-1-2017,adamantwharf,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,24.39,- - -,- - -,- - -,3rd Phase
bdcajicam,Bogota-Hack-1-2017,bdcajicam,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,62.5,- - -,- - -,18.92,2.7,48.65,3rd Phase
bdcajicam,Bogota-Hack-1-2017,bdcajicam,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,24.39,- - -,- - -,- - -,3rd Phase
andfsanchezlem,Bogota-Hack-1-2017,andfsanchezlem,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,18.92,2.7,0,3rd Phase
andfsanchezlem,Bogota-Hack-1-2017,andfsanchezlem,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
dfhincapiem,Bogota-Hack-1-2017,dfhincapiem,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,50,0,- - -,- - -,18.92,59.46,0,3rd Phase
dfhincapiem,Bogota-Hack-1-2017,dfhincapiem,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,37.5,17.07,- - -,- - -,- - -,3rd Phase
helmeraac,Bogota-Hack-1-2017,helmeraac,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,0,29.17,0,- - -,- - -,0,21.62,0,3rd Phase
helmeraac,Bogota-Hack-1-2017,helmeraac,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,25,12.2,- - -,- - -,- - -,3rd Phase
dasalgadob,Bogota-Hack-1-2017,dasalgadob,uxjudge5,purdueironhack+uxjudge5@gmail.com,0,0,0,- - -,- - -,0,0,0,3rd Phase
dasalgadob,Bogota-Hack-1-2017,dasalgadob,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,50,24.39,- - -,- - -,- - -,3rd Phase
falperezgo,Bogota-Hack-1-2017,falperezgo,uxjudge5,purdueironhack+uxjudge5@gmail.com,80,58.33,100,- - -,- - -,78.38,64.86,89.19,3rd Phase
falperezgo,Bogota-Hack-1-2017,falperezgo,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,100,90.24,- - -,- - -,- - -,3rd Phase
djguzmanc,Bogota-Hack-1-2017,djguzmanc,uxjudge5,purdueironhack+uxjudge5@gmail.com,80,62.5,100,- - -,- - -,78.38,83.78,89.19,3rd Phase
djguzmanc,Bogota-Hack-1-2017,djguzmanc,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,62.5,41.46,- - -,- - -,- - -,3rd Phase
ItsNavi,Bogota-Hack-1-2017,ItsNavi,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
gsuarezc04,Bogota-Hack-1-2017,gsuarezc04,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,0,25,0,- - -,- - -,0,2.7,0,3rd Phase
gsuarezc04,Bogota-Hack-1-2017,gsuarezc04,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,25,12.2,- - -,- - -,- - -,3rd Phase
oeroaq,Bogota-Hack-1-2017,oeroaq,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,100,58.33,87.5,- - -,- - -,89.19,64.86,70.27,3rd Phase
oeroaq,Bogota-Hack-1-2017,oeroaq,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,75,60.98,- - -,- - -,- - -,3rd Phase
gcantem,Bogota-Hack-1-2017,gcantem,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,60,29.17,75,- - -,- - -,70.27,21.62,62.16,3rd Phase
gcantem,Bogota-Hack-1-2017,gcantem,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,41.46,- - -,- - -,- - -,3rd Phase
Semoralesga,Bogota-Hack-1-2017,Semoralesga,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,33.33,62.5,- - -,- - -,18.92,37.84,48.65,3rd Phase
Semoralesga,Bogota-Hack-1-2017,Semoralesga,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,62.5,41.46,- - -,- - -,- - -,3rd Phase
