Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
fffeelipe,Bogota-Hack-0-2017,fffeelipe,uxjudge4,purdueironhack+uxjudge4@gmail.com,60,37.5,0,- - -,- - -,94.74,81.58,0,2nd Phase
fffeelipe,Bogota-Hack-0-2017,fffeelipe,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,75,82.98,- - -,- - -,- - -,2nd Phase
mnguzmanc,Bogota-Hack-0-2017,mnguzmanc,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,20,37.5,75,- - -,- - -,47.37,81.58,89.47,2nd Phase
mnguzmanc,Bogota-Hack-0-2017,mnguzmanc,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,87.5,93.62,- - -,- - -,- - -,2nd Phase
annipi,Bogota-Hack-0-2017,annipi,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,12.5,2.13,- - -,- - -,- - -,2nd Phase
jmcuestasb,Bogota-Hack-0-2017,jmcuestasb,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,33.33,25,- - -,- - -,47.37,52.63,50,2nd Phase
jmcuestasb,Bogota-Hack-0-2017,jmcuestasb,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,61.7,- - -,- - -,- - -,2nd Phase
katherinsb,Bogota-Hack-0-2017,katherinsb,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,12.5,2.13,- - -,- - -,- - -,2nd Phase
jjrodriguezn,Bogota-Hack-0-2017,jjrodriguezn,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,29.17,0,- - -,- - -,47.37,42.11,0,2nd Phase
jjrodriguezn,Bogota-Hack-0-2017,jjrodriguezn,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,61.7,- - -,- - -,- - -,2nd Phase
DglyP,Bogota-Hack-0-2017,DglyP,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,40,45.83,0,- - -,- - -,89.47,94.74,0,2nd Phase
DglyP,Bogota-Hack-0-2017,DglyP,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,37.5,25.53,- - -,- - -,- - -,2nd Phase
